then,31,50.03,adv.当时，然后，那么 
cost,31,50.09,n.成本，费用 v.花费 
market,31,50.14,n.市场，销路 
these,31,50.20,pron.这些 
party,31,50.26,n.聚会，政党，一方 
likely,31,50.32,adj.可信的adv.很可能 
interest,31,50.38,n.兴趣，利息，利益 
income,31,50.44,n.收入，所得 
how,30,50.49,adv.如何，多么，怎样 
low,30,50.66,adj.低的，低廉的 
help,30,50.72,v.,n.帮助，有助于 
little,30,50.77,adj.小的，一点，少的 
same,30,50.83,adj.同样的 
often,30,50.89,adv.经常，常常 
term,30,50.94,n.期限，学期，术语 
system,29,51.05,n.系统，体制，制度 
work,29,51.11,n.劳动，工作，作品 
rich,28,51.16,adj.富的，富饶的 
right,28,51.21,adj.正确的，右的 
put,28,51.32,v.放置，估价，表达 
history,28,51.37,n.历史 
left,28,51.48,adj.左的 adv.向左 
i,27,51.53,.我 
whose,27,51.58,pron.谁的 
rather,27,51.73,adv.相当，颇，宁愿 
few,27,51.78,adj.少的 n.少数 
debt,26,51.83,n.债，债务 
law,26,51.93,n.法律，定律 
central,26,51.98,adj.中心的，中央的 
side,26,52.02,n.边，面，侧面，一方 
get,26,52.07,v.获得，记住，到达 
good,26,52.17,adj.好的，善良的 
without,26,52.22,prep.没有，在...外部 
firm,26,52.32,adj.坚固的 n.商号 
old,25,52.36,adj.老的，...岁的 
power,25,52.41,n.力，动力，权力 
hen,25,52.46,n.母鸡 
social,25,52.51,adj.社会的，社会性的 
pay,25,52.60,v.支付 n.工资 
part,25,52.65,n.部分，零件，角色 
every,25,52.69,adj.每个，所有的 
minister,25,52.83,n.教士，部长，大臣 
him,25,52.88,pron.他(宾格) 
supply,25,52.93,v.供应，供给 
own,25,52.98,adj.自己的 v.拥有 
best,24,53.02,adj.最好的 
take,24,53.07,v.拿，带，吃，乘 
plan,24,53.16,n.计划,平面图 v.打算 
set,24,53.20,v.放，指定 n.全套 
five,24,53.25,num.五 
better,24,53.38,adj.更好的 adv.较好 
politics,24,53.56,n.政治学，政治活动 
future,23,53.65,n.将来，前途 
visa,23,53.69,n.签证 
you,23,53.74,pron.你，你们 
very,23,53.78,adv.很，非常 
during,23,53.82,prep.在...期间 
keep,23,53.87,v.保持，保留，防止 
need,23,53.91,n.需要，贫困 v.需要 
yet,23,54.00,adv.仍然，还，尚 
according,23,54.08,adj.按照，据...说 
among,23,54.13,prep.在...之中 
money,23,54.17,n.金钱，货币，财富 
financial,22,54.25,adj.金融的，财政的 
say,22,54.29,v.说 n.发言(权) 
hey,22,54.34,int.嗨 
last,22,54.38,adj.最后的 adv.上次 
global,22,54.42,adj.全世界的，总的 
while,22,54.50,n.一会儿 conj.当..时 
demand,22,54.62,v.,n.要求，需求 
army,22,54.67,n.军队，陆军 
across,22,54.71,prep.横越 adv.横穿 
different,22,54.75,adj.不同的，各种 
late,22,54.79,adj.迟到的，晚的 
election,22,54.87,n.选举 
found,22,54.91,v.创办，使有根据 
means,21,55.07,n.手段，财力 
early,21,55.11,adj.早的，初期的 
go,21,55.23,v.去，进行，打算 
home,21,55.27,n.家，故乡 adv.回家 
policy,21,55.31,n.政策，方针，保险单 
think,21,55.35,v.想，相信，认为 
trade,21,55.43,n.贸易，交换 v.经商 
whether,21,55.47,conj.是否，还是... 
second,20,55.51,num.第二 n.第二，秒 
decade,20,55.66,n.十年 
start,20,55.69,v.开始，着手，发动 
nearly,20,55.77,adv.几乎，差不多 
once,20,55.81,adv.一度，一次 
cut,20,55.84,v.割，切，削减，切断 
use,20,55.88,v.使用 n.用途，利用 
risk,20,55.92,n.,v.冒险，风险 
free,20,55.96,adj.自由的，空闲的 
recently,20,55.99,adv.近来，最近 
possible,19,56.03,adj.可能的 
city,19,56.10,n.城市 
